名字,简介,包名,ID,appid,下载地址,类型
蜀门,蜀门X封神联动开启！,com.ycgame.smsy.huawei,de99f6027f1c4ed399ae518a2ad60338,C100021121,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/de/de99f6027f1c4ed399ae518a2ad60338/com.ycgame.smsy.huawei.2006171914.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=11&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
屠龙定乾坤,集山海异兽 摆摊自由交易,com.tl.hardtime.huawei,93333ea2573d445e97e23c6158019979,C101931251,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/93/93333ea2573d445e97e23c6158019979/com.tl.hardtime.huawei.2006291514.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=12&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
天下,网易顶级品质旗舰，真3D极致画面,com.netease.tx.huawei,4cfd5957a1c44de399c1d3f7e9ad56dc,C10552574,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/4c/4cfd5957a1c44de399c1d3f7e9ad56dc/com.netease.tx.huawei.2004282258.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=13&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
御剑情缘,盛妆千颜的绝美手游！,com.zlongame.yjqy.huawei,e87b3a0e3f2e4668bce41bd122b3ef63,C10502581,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/e8/e87b3a0e3f2e4668bce41bd122b3ef63/com.zlongame.yjqy.huawei.2006041845.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=14&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
天缘传说,千里姻缘一线牵，登陆即送珍稀神宠,com.higame.tycs.huawei,8453f1b6007949a9bca7aaf0b04121cc,C100787633,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/84/8453f1b6007949a9bca7aaf0b04121cc/com.higame.tycs.huawei.2006231734.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=15&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
青云诀,全民斗战抢boss，天天神装爆不停,qyj.huawei,d9b5da0b635149f589c94ca3224e8217,C10847213,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/d9/d9b5da0b635149f589c94ca3224e8217/qyj.huawei.2006191437.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=16&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
仙剑客栈H5,《仙剑客栈H5》让我们一起回到仙剑98的世界！,com.xianjiankzh5.huawei,7b689017f8c34f3f9e300d4b739848e4,C101173419,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/7b/7b689017f8c34f3f9e300d4b739848e4/com.xianjiankzh5.huawei.2002211851.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=17&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
吞星,神装高爆，觉醒元神，渡劫飞升爽战仙域,com.xiaoshudian.tx.huawei,1d6aeb6e3c004ea5856c6fc9caa6b9d1,C100593037,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/1d/1d6aeb6e3c004ea5856c6fc9caa6b9d1/com.xiaoshudian.tx.huawei.2006231108.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=18&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
九州仙剑传,吴镇宇代言上线即送VIP10！,com.shjs.jzly.huawei,86abeac1da84402c82ef106390efdc60,C101516477,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/86/86abeac1da84402c82ef106390efdc60/com.shjs.jzly.huawei.2002220417.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=19&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
御剑修仙,飞仙御剑，战仙帝爆神装,com.bxfr.union.huawei,ddd05e470fe6408eac3a83240e9e7590,C100142519,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/dd/ddd05e470fe6408eac3a83240e9e7590/com.bxfr.union.huawei.2004211153.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=20&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
腾讯雪鹰领主,首款自创技能战斗手游,com.tencent.tmgp.vgame,b92962b72a4742cd88841bbe6b8a0b75,C100689695,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/b9/b92962b72a4742cd88841bbe6b8a0b75/com.tencent.tmgp.vgame.2006161307.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=21&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
九州天空城3D,全新捏脸系统，360°全方位自由空战！,com.zulong.jz.huawei,81b30dbdef324f8cbc031fcccc4f4ed4,C100011425,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/81/81b30dbdef324f8cbc031fcccc4f4ed4/com.zulong.jz.huawei.2003241632.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=22&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
破天一剑,20年经典正版手游，原班人马打造！,com.u1game.ptyj.hwtv.huawei,ef0f16b28dfc4b99a96428c9732ab688,C10856492,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/ef/ef0f16b28dfc4b99a96428c9732ab688/com.u1game.ptyj.hwtv.huawei.2005281557.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=23&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
仙剑奇侠传移动版,3D新国风第一人称MMORPG手游,com.kunlun.mobpal.huawei,e24fd255ffae4fa4b91b346ac51a49f3,C100655929,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/e2/e24fd255ffae4fa4b91b346ac51a49f3/com.kunlun.mobpal.huawei.2006062046.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=24&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
那一剑江湖,电影级国风画面，一剑问鼎江湖！,com.xlcw.nyjjhn.huawei,7ed53e87e5db49beac1325e8c45faa5e,C101060835,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/7e/7ed53e87e5db49beac1325e8c45faa5e/com.xlcw.nyjjhn.huawei.2005211432.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=25&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
大秦黎明,须实名认证，仙侠手游巨作，联机游戏精品！,com.pbnet.dqlm.huawei,a0626ab06fb7434ab3ef18e80ade0d2d,C100914957,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/a0/a0626ab06fb7434ab3ef18e80ade0d2d/com.pbnet.dqlm.huawei.2006191844.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=26&extendStr=serviceType%3A20%3Bs%3A1593496676175%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=e47eefba098b4dbf9b66180a66f8954a&maple=0&distOpEntity=HWSW,仙侠
剑舞乾坤,剑侠情缘精品动作手游,com.ml.jwqk.huawei,61ebcb8924134cffa0ad1cedacf9dae4,C101708033,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/61/61ebcb8924134cffa0ad1cedacf9dae4/com.ml.jwqk.huawei.2006111952.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=27&extendStr=serviceType%3A20%3Bs%3A1593496676175%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=e47eefba098b4dbf9b66180a66f8954a&maple=0&distOpEntity=HWSW,仙侠
青丘狐传说,唯美仙侠3D MMO情缘手游,com.zlongame.qqh.huawei,4a6257a7af44440b997daa998105b324,C10420251,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/4a/4a6257a7af44440b997daa998105b324/com.zlongame.qqh.huawei.1905171934.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=28&extendStr=serviceType%3A20%3Bs%3A1593496676175%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=e47eefba098b4dbf9b66180a66f8954a&maple=0&distOpEntity=HWSW,仙侠
幻化之锋,醉美国风仙侠，逍遥修仙之路。,com.youyan.hhzf.huawei,5532457dcfa64936b3deaf1f0de800ca,C100260061,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/55/5532457dcfa64936b3deaf1f0de800ca/com.youyan.hhzf.huawei.2005061051.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=29&extendStr=serviceType%3A20%3Bs%3A1593496676175%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=e47eefba098b4dbf9b66180a66f8954a&maple=0&distOpEntity=HWSW,仙侠
太古封魔录,装备回收自由交易,com.junhai.tgfml.huawei,886dbb2b3f284da88268e0481040c4a1,C100237417,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/88/886dbb2b3f284da88268e0481040c4a1/com.junhai.tgfml.huawei.2003101721.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=30&extendStr=serviceType%3A20%3Bs%3A1593496676175%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=e47eefba098b4dbf9b66180a66f8954a&maple=0&distOpEntity=HWSW,仙侠
王者修仙,首创boss爆时装，吞噬异火秒升战力！,com.maiteng.wzxx.huawei,8be6fa62e6e445419670014195377d9c,C100234679,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/8b/8be6fa62e6e445419670014195377d9c/com.maiteng.wzxx.huawei.2001241047.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=31&extendStr=serviceType%3A20%3Bs%3A1593496676175%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=e47eefba098b4dbf9b66180a66f8954a&maple=0&distOpEntity=HWSW,仙侠
仙剑奇侠传四,官方正版-自在有相逢,com.tencent.xishanju.xj4,517d764462a44fe8b20afec4fada23b7,C100435967,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/51/517d764462a44fe8b20afec4fada23b7/com.tencent.xishanju.xj4.2004021140.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=32&extendStr=serviceType%3A20%3Bs%3A1593496676175%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=e47eefba098b4dbf9b66180a66f8954a&maple=0&distOpEntity=HWSW,仙侠
三生三世十里桃花,三生情缘，仙游四海,com.tencent.ssss,f452e981c00b43d38c7bc54f5414be13,C100705347,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/f4/f452e981c00b43d38c7bc54f5414be13/com.tencent.ssss.2004021137.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=33&extendStr=serviceType%3A20%3Bs%3A1593496676175%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=e47eefba098b4dbf9b66180a66f8954a&maple=0&distOpEntity=HWSW,仙侠
纵剑仙界,不为天人 誓破天命,com.junhai.zjxj.huawei,0af9b4172c494edab6941c5619e24c0b,C100551773,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/0a/0af9b4172c494edab6941c5619e24c0b/com.junhai.zjxj.huawei.2004211205.rpk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=34&extendStr=serviceType%3A20%3Bs%3A1593496676175%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=e47eefba098b4dbf9b66180a66f8954a&maple=0&distOpEntity=HWSW,仙侠
花千骨,小说原著改编的正版授权3D动作手游,com.skymoons.hqg.huawei,c91dc5294c304945baaff116c0b438ce,C10272089,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/c9/c91dc5294c304945baaff116c0b438ce/com.skymoons.hqg.huawei.2006221633.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=35&extendStr=serviceType%3A20%3Bs%3A1593496676175%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=e47eefba098b4dbf9b66180a66f8954a&maple=0&distOpEntity=HWSW,仙侠
山海之痕,首款真3D水墨国风山海仙侠H5游戏,com.txitech.shapp.huawei,f5eb0ee133d94934b8e0a112f10bab18,C101918299,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/f5/f5eb0ee133d94934b8e0a112f10bab18/com.txitech.shapp.huawei.2006191535.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=36&extendStr=serviceType%3A20%3Bs%3A1593496676175%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=e47eefba098b4dbf9b66180a66f8954a&maple=0&distOpEntity=HWSW,仙侠
仙之侠道,国风仙侠 放置修仙,xzxd.huawei,43e03bd6ac3248de85675762f4bacdca,C102112985,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/43/43e03bd6ac3248de85675762f4bacdca/xzxd.huawei.2006091516.rpk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=37&extendStr=serviceType%3A20%3Bs%3A1593496676175%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=e47eefba098b4dbf9b66180a66f8954a&maple=0&distOpEntity=HWSW,仙侠
山海之痕,首款真3D水墨国风山海仙侠H5游戏,com.txitech.shzh.module,6f90365e43b64c70a038e933bdce3096,C101093869,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/6f/6f90365e43b64c70a038e933bdce3096/com.txitech.shzh.module.2006171328.rpk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=38&extendStr=serviceType%3A20%3Bs%3A1593496676175%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=e47eefba098b4dbf9b66180a66f8954a&maple=0&distOpEntity=HWSW,仙侠
众神风云,修仙诛仙仙侠动作手游-大型社交国民热恋仙侠动作手游,com.zsfy.huawei,3ebaaff55c1d4ed499bb60bbfb30d814,C100828865,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/3e/3ebaaff55c1d4ed499bb60bbfb30d814/com.zsfy.huawei.2001221203.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=39&extendStr=serviceType%3A20%3Bs%3A1593496676175%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=e47eefba098b4dbf9b66180a66f8954a&maple=0&distOpEntity=HWSW,仙侠
